년도,시도,시군구,읍면동,정상_평균_속도,전체_차량_주행_거리,승용차_주행_거리,버스_주행_거리,화물차_주행_거리,전체_연평균_교통량,승용차_연평균_교통량,버스_연평균_교통량,화물차_연평균_교통량,평균_속도,교통_혼잡_빈도,교통_혼잡_시간,교통_혼잡_평균_속도
2017년,강원도,강릉시,주문진읍,50.84,239752.0,202720.0,5976.0,31056.0,2299.0,1944.0,57.0,298.0,39.89,32.92,42.42,21.36
2017년,강원도,강릉시,성산면,68.19,665741.0,480412.0,31185.0,154144.0,3477.0,2509.0,163.0,805.0,54.88,34.99,42.63,29.79
2017년,강원도,강릉시,왕산면,77.54,237586.0,177613.0,7855.0,52117.0,1470.0,1099.0,49.0,322.0,62.87,46.04,55.12,47.21
2017년,강원도,강릉시,구정면,60.1,258030.0,193422.0,11742.0,52866.0,2587.0,1940.0,118.0,530.0,55.3,10.64,15.84,22.47
2017년,강원도,강릉시,강동면,56.74,453966.0,340729.0,14128.0,99109.0,2559.0,1921.0,80.0,559.0,50.02,19.97,25.3,23.46
2017년,강원도,강릉시,옥계면,58.42,259014.0,192863.0,8388.0,57764.0,1659.0,1236.0,54.0,370.0,51.45,27.24,32.06,24.74
2017년,강원도,강릉시,사천면,56.78,349490.0,282614.0,11115.0,55761.0,2716.0,2196.0,86.0,433.0,48.77,27.64,33.27,24.67
2017년,강원도,강릉시,연곡면,69.79,221253.0,183612.0,5047.0,32594.0,1558.0,1293.0,36.0,229.0,53.23,34.2,41.88,31.07
2017년,강원도,강릉시,홍제동,45.17,101047.0,78818.0,2975.0,19254.0,2280.0,1779.0,67.0,434.0,31.28,46.6,56.08,18.16
2017년,강원도,강릉시,중앙동,40.03,30429.0,24742.0,577.0,5110.0,1924.0,1564.0,36.0,323.0,20.57,72.72,84.46,16.26
2017년,강원도,강릉시,옥천동,40.61,25172.0,21233.0,373.0,3567.0,2102.0,1773.0,31.0,298.0,23.31,47.26,71.5,14.5
2017년,강원도,강릉시,교1동,40.18,92426.0,78402.0,1570.0,12453.0,1804.0,1530.0,31.0,243.0,22.43,30.19,51.38,14.21
2017년,강원도,강릉시,교2동,42.43,68918.0,59046.0,1159.0,8713.0,2418.0,2072.0,41.0,306.0,28.37,21.45,39.67,15.75
2017년,강원도,강릉시,포남1동,43.91,60026.0,50731.0,1044.0,8252.0,2230.0,1885.0,39.0,307.0,27.41,31.29,55.14,15.12
2017년,강원도,강릉시,포남2동,39.95,32786.0,28485.0,420.0,3880.0,1119.0,972.0,14.0,132.0,25.51,32.0,47.27,16.21
2017년,강원도,강릉시,초당동,39.28,49113.0,43200.0,620.0,5293.0,2298.0,2021.0,29.0,248.0,30.11,25.11,41.55,17.42
2017년,강원도,강릉시,송정동,44.3,72165.0,63510.0,863.0,7793.0,2579.0,2269.0,31.0,278.0,31.53,19.57,32.82,16.77
2017년,강원도,강릉시,내곡동,41.53,47813.0,39183.0,831.0,7799.0,1388.0,1138.0,24.0,226.0,27.33,42.32,57.09,16.21
2017년,강원도,강릉시,강남동,48.8,154525.0,121390.0,3005.0,30130.0,1907.0,1498.0,37.0,372.0,36.31,28.75,38.7,19.16
2017년,강원도,강릉시,성덕동,45.55,94158.0,77655.0,1405.0,15098.0,1499.0,1236.0,22.0,240.0,31.09,20.06,36.26,16.24
2017년,강원도,강릉시,경포동,50.74,264602.0,227089.0,4664.0,32849.0,2600.0,2231.0,46.0,323.0,39.55,28.79,38.45,18.86
2017년,강원도,고성군,간성읍,54.68,142688.0,105382.0,3562.0,33745.0,901.0,665.0,22.0,213.0,45.11,62.49,68.31,26.23
2017년,강원도,고성군,거진읍,51.99,109322.0,80941.0,2501.0,25880.0,727.0,538.0,17.0,172.0,43.11,34.27,41.99,23.3
2017년,강원도,고성군,현내면,57.87,72761.0,53408.0,1527.0,17826.0,667.0,489.0,14.0,163.0,48.77,36.33,45.91,22.71
2017년,강원도,고성군,죽왕면,51.87,163091.0,129251.0,3598.0,30242.0,1490.0,1181.0,33.0,276.0,40.74,55.87,63.61,22.06
2017년,강원도,고성군,토성면,51.59,355387.0,274183.0,8761.0,72443.0,1490.0,1149.0,37.0,304.0,43.13,35.92,43.94,20.62
2017년,강원도,동해시,천곡동,45.09,164104.0,123294.0,3497.0,37313.0,2306.0,1733.0,49.0,524.0,28.49,38.66,51.07,17.53
2017년,강원도,동해시,송정동,43.0,72566.0,55912.0,809.0,15845.0,2108.0,1624.0,24.0,460.0,32.01,17.24,31.79,15.98
2017년,강원도,동해시,북삼동,54.84,172665.0,131606.0,5303.0,35756.0,2675.0,2039.0,82.0,554.0,40.99,43.55,51.06,23.29
2017년,강원도,동해시,부곡동,44.52,18749.0,13702.0,267.0,4779.0,1303.0,952.0,19.0,332.0,34.08,28.41,45.88,18.12
2017년,강원도,동해시,동호동,47.75,20141.0,14491.0,232.0,5419.0,1961.0,1411.0,23.0,528.0,31.41,48.24,60.22,20.46
2017년,강원도,동해시,발한동,42.72,19415.0,14254.0,218.0,4942.0,2352.0,1727.0,26.0,599.0,30.45,24.77,40.04,16.52
2017년,강원도,동해시,묵호동,43.04,34928.0,25586.0,259.0,9082.0,1283.0,940.0,10.0,334.0,35.42,20.25,40.3,18.43
2017년,강원도,동해시,북평동,48.91,175508.0,132931.0,5837.0,36740.0,1932.0,1464.0,64.0,405.0,39.35,41.43,50.5,20.74
