지역,행정구역,시군구,년도,사고건수,사망자수,중상자수,경상자수,부상신고자수,총등록대수(대),총인구수,노인수,노인비율,토지면적(㎡),도로면적(㎡),교통사고 사상자 수,교통안전도 평가지수
강원 강릉시,강원,강릉시,2012,59,8,29,22,1,91581.0,217741.0,33639,15.4490886,"1,040,209,048.3","23,424,337.7",34.9,0.004863454209934375
강원 강릉시,강원,강릉시,2013,50,6,29,16,1,93252.0,216806.0,34855,16.0765846,"1,040,382,339.3","23,427,504.5",31.099999999999998,0.0041457555870115384
강원 강릉시,강원,강릉시,2014,61,4,34,27,1,95579.0,215807.0,36009,16.68574235,"1,040,377,731.1","24,085,640.0",35.9,0.004806495150608397
강원 강릉시,강원,강릉시,2015,54,7,29,18,1,98432.0,214560.0,36924,17.20917226,"1,040,381,390.0","24,148,785.2",32.699999999999996,0.004187662548764629
강원 강릉시,강원,강릉시,2016,71,6,36,31,0,101698.0,213846.0,37679,17.61968894,"1,040,343,604.0","24,177,297.3",40.5,0.005182009479045803
강원 강릉시,강원,강릉시,2017,71,6,37,29,0,104693.0,213952.0,39784,18.59482501,"1,040,709,437.1","24,394,311.7",40.599999999999994,0.005039496432426236
강원 강릉시,강원,강릉시,2018,71,5,48,20,0,106929.0,212957.0,41214,19.35320276,"1,040,793,379.2","24,842,472.5",44.599999999999994,0.005158563158731495
강원 강릉시,강원,강릉시,2019,60,2,37,22,1,109166.0,213442.0,43113,20.19892992,"1,040,783,863.5","24,873,194.6",34.5,0.004094681494238133
강원 강릉시,강원,강릉시,2020,41,1,24,17,1,112396.0,213321.0,45484,21.32185767,"1,040,782,376.8","24,935,527.2",22.9,0.002681590092174099
강원 강릉시,강원,강릉시,2021,48,5,31,14,0,115046.0,212965.0,47318,22.21867443,"1,040,753,600.0","25,570,576.1",30.9,0.0032804269596509224
강원 강릉시,강원,강릉시,2022,48,1,30,18,0,117792.0,211381.0,49575,23.45291204,"1,040,677,544.5","25,669,897.1",27.4,0.0030256723716381422
강원 강릉시,강원,강릉시,2023,59,5,42,13,0,119692.0,88625.0,51700,58.33568406,"1,040,827,452.0","25,727,441.2",38.3,0.0038916552484710757
강원 고성군,강원,고성군,2012,5,0,4,1,0,11697.0,30124.0,6600,21.90944098,"660,452,219.7","8,998,670.5",3.0999999999999996,0.0032999914507993496
강원 고성군,강원,고성군,2013,6,1,5,0,0,11881.0,30398.0,6761,22.24159484,"660,942,613.7","9,178,147.5",4.5,0.004292567965659456
강원 고성군,강원,고성군,2014,9,2,5,2,0,12349.0,30269.0,6888,22.75595494,"661,099,299.8","9,295,769.2",6.1,0.005879018544011661
강원 고성군,강원,고성군,2015,7,0,6,2,0,12896.0,30060.0,6996,23.27345309,"661,113,075.7","9,678,224.9",4.799999999999999,0.004404466501240695
강원 고성군,강원,고성군,2016,4,0,2,0,2,13575.0,30114.0,7151,23.74643023,"661,099,081.5","9,679,000.4",1.4,0.0017974217311233884
강원 고성군,강원,고성군,2017,8,2,2,2,2,14076.0,30029.0,7300,24.30983383,"660,858,940.3","10,417,229.6",4.0,0.003978402955385052
강원 고성군,강원,고성군,2018,11,2,3,3,3,14036.0,28144.0,7416,26.35019898,"660,871,394.3","10,461,545.0",5.0,0.005272157309774865
강원 고성군,강원,고성군,2019,2,0,1,1,0,14217.0,27260.0,7659,28.09611152,"660,707,506.0","10,580,254.2",1.0,0.000984736582964057
강원 고성군,강원,고성군,2020,4,0,2,0,2,14671.0,26757.0,7945,29.69316441,"660,747,833.7","10,895,008.6",1.4,0.0016631449798923045
강원 고성군,강원,고성군,2021,5,1,4,0,0,15455.0,27249.0,8236,30.22496238,"660,751,975.5","10,981,828.0",3.8,0.0027693303138142996
강원 고성군,강원,고성군,2022,7,0,4,3,0,16187.0,27274.0,8517,31.22754271,"660,766,036.4","11,010,158.7",3.6999999999999997,0.0031012540927905104
강원 고성군,강원,고성군,2023,3,0,3,0,0,16607.0,27710.0,8773,31.66005052,"660,766,514.4","11,025,141.4",2.0999999999999996,0.001481303064972602
강원 동해시,강원,동해시,2012,16,1,10,5,0,37047.0,93897.0,13379,14.24859154,"180,197,293.0","6,584,902.4",9.5,0.003266121413339812
강원 동해시,강원,동해시,2013,24,3,17,5,0,38292.0,95143.0,14006,14.72099892,"180,196,095.1","6,677,137.1",16.4,0.005076778439360701
강원 동해시,강원,동해시,2014,22,1,15,6,1,39590.0,94562.0,14456,15.28732472,"180,195,361.6","6,700,273.2",13.3,0.004238444051528164
강원 동해시,강원,동해시,2015,29,4,15,10,0,41132.0,93895.0,14891,15.85920443,"180,197,950.9","6,772,027.1",17.5,0.005372945638432365
강원 동해시,강원,동해시,2016,29,2,20,7,1,42540.0,93297.0,15124,16.21059627,"180,207,886.0","6,775,403.1",18.1,0.005279736718382699
강원 동해시,강원,동해시,2017,37,2,22,12,3,43647.0,92851.0,15881,17.10374686,"180,206,138.4","7,166,601.5",21.0,0.006277636492771553
강원 동해시,강원,동해시,2018,25,1,13,10,2,44419.0,91272.0,16526,18.10631957,"180,204,937.3","7,255,488.4",13.1,0.0040208019090929555
강원 동해시,강원,동해시,2019,24,2,12,10,0,45324.0,90522.0,17338,19.15335499,"180,201,979.5","7,288,404.6",13.399999999999999,0.003891977760127085
강원 동해시,강원,동해시,2020,17,1,8,8,0,46848.0,90593.0,18293,20.19250936,"180,207,415.8","7,374,786.8",9.0,0.0026041666666666665
강원 동해시,강원,동해시,2021,27,0,15,12,0,47931.0,90081.0,19039,21.13542256,"180,304,697.8","7,416,155.2",14.1,0.004018276272141203
강원 동해시,강원,동해시,2022,20,1,8,12,0,48935.0,89426.0,19983,22.3458502,"180,304,737.3","7,474,758.3",10.2,0.002885460304485542
강원 동해시,강원,동해시,2023,22,1,12,9,0,49697.0,38702.0,20861,53.90160715,"180,307,717.3","7,570,690.9",12.099999999999998,0.003231583395375978
강원 삼척시,강원,삼척시,2012,15,0,10,5,0,26992.0,72463.0,13454,18.56671681,"1,186,668,692.4","17,287,987.1",8.5,0.0041123295791345585
강원 삼척시,강원,삼척시,2013,10,0,8,2,0,27759.0,73023.0,13916,19.05700944,"1,186,636,685.7","17,486,221.1",6.199999999999999,0.0027810800100868185
강원 삼척시,강원,삼척시,2014,22,0,15,7,0,28537.0,72314.0,14245,19.69881351,"1,186,532,912.6","17,589,295.1",12.6,0.005732908154325963
강원 삼척시,강원,삼척시,2015,13,2,9,4,0,29436.0,70839.0,14527,20.50706532,"1,187,087,624.7","17,603,075.7",9.5,0.0037029487702133442
강원 삼척시,강원,삼척시,2016,20,2,10,8,0,30170.0,69599.0,14610,20.99168091,"1,186,997,758.4","17,616,756.5",11.4,0.004918793503480278
강원 삼척시,강원,삼척시,2017,15,0,7,9,0,30889.0,68514.0,15093,22.02907435,"1,186,955,787.4","17,796,223.7",7.6,0.003418692738515329
강원 삼척시,강원,삼척시,2018,21,0,8,13,0,32248.0,68326.0,15481,22.65755349,"1,187,155,923.0","18,717,635.9",9.5,0.004372364177623419
강원 삼척시,강원,삼척시,2019,28,5,18,7,0,32662.0,67228.0,16004,23.80555721,"1,187,839,038.0","18,736,511.0",19.700000000000003,0.007047945624885189
강원 삼척시,강원,삼척시,2020,21,1,14,6,0,33312.0,65243.0,16572,25.4004261,"1,187,808,257.0","18,758,315.7",12.599999999999998,0.004791066282420748
강원 삼척시,강원,삼척시,2021,16,3,5,8,0,33584.0,63429.0,16884,26.61873906,"1,187,805,137.2","18,847,909.3",8.9,0.003495712243925679
강원 삼척시,강원,삼척시,2022,21,2,13,7,0,34482.0,63455.0,17460,27.51556221,"1,187,827,623.6","18,894,405.6",13.2,0.004732904123890725
강원 삼척시,강원,삼척시,2023,11,2,8,1,0,35061.0,67309.0,18014,26.76313717,"1,187,836,727.3","18,916,526.1",7.8999999999999995,0.0026068851430364223
강원 속초시,강원,속초시,2012,18,0,13,5,0,30946.0,83579.0,11532,13.79772431,"105,583,338.0","3,520,141.9",10.6,0.004381826407290118
강원 속초시,강원,속초시,2013,24,2,16,6,0,31651.0,83109.0,11894,14.31132609,"105,626,024.4","3,564,160.4",15.0,0.005876591576885406
강원 속초시,강원,속초시,2014,27,2,18,7,0,32196.0,82432.0,12261,14.87407803,"105,701,807.1","3,599,281.6",16.7,0.006466641818859486
강원 속초시,강원,속초시,2015,24,0,15,9,1,33550.0,81992.0,12487,15.22953459,"105,721,485.6","3,640,336.0",13.2,0.005222056631892697
강원 속초시,강원,속초시,2016,23,1,15,8,1,34917.0,81793.0,12752,15.59057621,"105,718,137.4","3,639,857.1",13.9,0.005023341065956411
강원 속초시,강원,속초시,2017,31,2,17,12,0,36601.0,82273.0,13464,16.36502862,"105,735,518.6","4,169,261.7",17.5,0.006256659654107811
강원 속초시,강원,속초시,2018,27,1,15,12,0,37269.0,81682.0,13952,17.08087461,"105,759,304.6","4,223,611.6",15.1,0.005328825565483378
강원 속초시,강원,속초시,2019,22,1,13,7,1,38004.0,81786.0,14816,18.1155699,"105,760,448.0","4,228,793.3",12.2,0.004241658772760762
강원 속초시,강원,속초시,2020,25,0,17,8,0,39711.0,82665.0,15874,19.20280651,"105,761,438.1","4,242,335.3",14.299999999999999,0.004678804361511923
강원 속초시,강원,속초시,2021,19,0,13,6,0,40729.0,82791.0,16673,20.13866241,"105,760,399.0","4,257,252.7",10.899999999999999,0.0034717277615458272
강원 속초시,강원,속초시,2022,25,1,20,6,0,41870.0,82806.0,17551,21.19532401,"105,769,531.9","4,268,265.6",16.8,0.004795796513016479
강원 속초시,강원,속초시,2023,28,2,29,2,1,42635.0,62651.0,18496,29.52227419,"105,753,666.7","4,277,563.1",22.9,0.005849654040107892
강원 양구군,강원,양구군,2012,4,1,3,0,0,9119.0,22799.0,3887,17.04899338,"648,173,278.1","8,804,137.1",3.0999999999999996,0.0037942756881236975
강원 양구군,강원,양구군,2014,10,1,8,1,0,10226.0,23888.0,4051,16.95830543,"661,887,502.0","9,298,755.3",6.8999999999999995,0.007960101701545081
강원 양구군,강원,양구군,2015,6,1,4,1,0,10680.0,24089.0,4082,16.94549379,"661,889,821.3","9,294,676.7",4.1,0.004550561797752808
강원 양구군,강원,양구군,2016,6,1,5,0,0,11167.0,24010.0,4108,17.10953769,"661,839,242.3","9,525,798.8",4.5,0.004567027849914928
강원 양구군,강원,양구군,2017,7,0,6,1,0,11621.0,23835.0,4259,17.86868051,"661,814,926.1","9,541,209.2",4.499999999999999,0.004732811289906204
강원 양구군,강원,양구군,2018,6,1,1,4,0,11989.0,23408.0,4324,18.47231716,"661,815,918.2","9,636,424.9",2.9,0.0034531654016181504
강원 양구군,강원,양구군,2019,4,0,4,0,0,12157.0,22764.0,4493,19.73730452,"661,819,105.6","9,675,790.7",2.8,0.002698034054454224
강원 양구군,강원,양구군,2020,3,1,2,0,0,12267.0,22278.0,4702,21.10602388,"661,967,034.6","9,705,631.7",2.4,0.002152115431645879
강원 양구군,강원,양구군,2021,7,2,3,0,2,12383.0,21748.0,4893,22.49862056,"661,998,591.1","9,940,342.2",4.1,0.0042477590244690295
강원 양구군,강원,양구군,2022,3,0,0,2,1,12677.0,21383.0,5072,23.71977739,"661,981,910.5","10,080,231.3",0.6,0.001230575057190187
강원 양구군,강원,양구군,2023,7,0,4,3,0,12929.0,32020.0,5278,16.48344785,"661,991,726.8","10,088,476.5",3.6999999999999997,0.003882744218423698
강원 양양군,강원,양양군,2012,9,0,8,2,0,12179.0,27802.0,6387,22.9731674,"629,864,336.9","12,841,087.9",6.199999999999999,0.0060103456769849736
강원 양양군,강원,양양군,2013,4,2,2,0,0,12430.0,27659.0,6585,23.80780216,"629,861,644.5","12,995,874.4",3.4,0.002928399034593725
강원 양양군,강원,양양군,2014,7,1,4,2,0,12817.0,27521.0,6764,24.57759529,"629,863,736.8","12,996,988.3",4.3999999999999995,0.004244362955449793
강원 양양군,강원,양양군,2015,10,1,7,3,0,13218.0,27479.0,6922,25.1901452,"630,077,832.1","13,046,024.1",6.799999999999999,0.0061128763806929925
강원 양양군,강원,양양군,2016,5,2,2,1,0,13694.0,27218.0,6981,25.64846793,"630,086,514.4","13,044,091.3",3.6999999999999997,0.0030816415948590626
강원 양양군,강원,양양군,2017,4,1,2,3,0,14302.0,27207.0,7314,26.88278752,"630,095,218.4","13,778,320.3",3.3,0.0025031464130890785
강원 양양군,강원,양양군,2018,12,4,4,4,0,15016.0,27347.0,7556,27.6300874,"630,087,442.6","15,193,759.7",8.0,0.006393180607352158
강원 양양군,강원,양양군,2019,11,0,7,4,0,15562.0,27726.0,7945,28.65541369,"630,079,402.5","15,226,680.6",6.1,0.005179282868525897
강원 양양군,강원,양양군,2020,7,1,4,2,0,16235.0,27946.0,8314,29.75023259,"630,005,132.2","15,488,002.5",4.3999999999999995,0.003350785340314136
강원 양양군,강원,양양군,2021,6,0,5,1,0,16615.0,27913.0,8671,31.0643786,"629,689,382.2","15,503,032.7",3.8,0.002816731868793259
강원 양양군,강원,양양군,2022,11,4,5,3,0,17172.0,27866.0,9022,32.37637264,"629,750,400.5","15,518,034.9",8.4,0.0054973212205916624
강원 양양군,강원,양양군,2023,12,0,5,7,0,17505.0,27710.0,9398,33.91555395,"629,777,061.9","15,545,834.5",5.6,0.0046615252784918595
강원 영월군,강원,영월군,2012,5,1,3,1,0,17056.0,40155.0,9120,22.71199103,"1,127,617,263.5","13,093,784.9",3.3999999999999995,0.0023686679174484047
강원 영월군,강원,영월군,2013,9,1,7,1,0,17626.0,40150.0,9391,23.38978829,"1,127,628,448.5","13,168,020.1",6.199999999999999,0.004152955860660388
강원 영월군,강원,영월군,2014,9,3,4,1,1,18445.0,40191.0,9602,23.89092085,"1,127,638,642.3","13,132,612.7",6.1,0.003936026023312551
강원 영월군,강원,영월군,2015,12,3,7,2,0,19092.0,40216.0,9782,24.32365228,"1,127,618,097.0","13,196,440.4",8.5,0.005185417976115651
강원 영월군,강원,영월군,2016,13,2,11,1,0,19774.0,40073.0,9915,24.74234522,"1,127,615,087.4","13,344,555.4",10.0,0.005664003236573277
강원 영월군,강원,영월군,2017,11,2,7,0,2,20466.0,40067.0,10374,25.89163152,"1,127,635,483.4","14,053,901.4",6.8999999999999995,0.004172774357470927
강원 영월군,강원,영월군,2018,11,1,4,3,3,20926.0,39730.0,10669,26.8537629,"1,127,425,214.7","14,321,033.7",4.699999999999999,0.00345025327343974
강원 영월군,강원,영월군,2019,11,2,6,2,1,21223.0,39127.0,11024,28.17491758,"1,127,289,701.3","14,386,605.1",6.799999999999999,0.00399566508033737
강원 영월군,강원,영월군,2020,9,2,3,1,3,21789.0,38662.0,11498,29.73979618,"1,127,324,865.8","14,409,704.1",4.3999999999999995,0.0028638303731240537
강원 영월군,강원,영월군,2021,9,0,6,3,0,22050.0,37904.0,11735,30.95979316,"1,127,307,391.5","14,449,289.4",5.1,0.0030204081632653063
강원 영월군,강원,영월군,2022,6,2,3,2,0,22441.0,37728.0,12211,32.3658821,"1,127,330,773.1","14,483,666.4",4.699999999999999,0.0023260995499309297
강원 영월군,강원,영월군,2023,11,2,5,3,1,22719.0,40659.0,12705,31.24769424,"1,127,407,715.4","14,483,759.2",6.4,0.003626920198952419
강원 원주시,강원,원주시,2012,76,13,42,25,0,131246.0,323885.0,37620,11.6152338,"872,434,462.1","24,263,515.2",49.9,0.004597473446809808
강원 원주시,강원,원주시,2013,72,5,43,26,2,134396.0,324837.0,38812,11.9481463,"872,410,810.0","24,394,771.3",42.89999999999999,0.00405815649275276
강원 원주시,강원,원주시,2014,81,7,39,37,2,139259.0,327292.0,39862,12.17933833,"867,973,342.5","24,750,435.8",45.4,0.0042826675475193705
강원 원주시,강원,원주시,2015,73,5,37,30,3,146855.0,332995.0,41104,12.34372888,"867,815,241.9","26,920,133.3",39.9,0.0036185352899118176
강원 원주시,강원,원주시,2016,87,7,51,31,3,154605.0,337979.0,42246,12.49959317,"868,283,081.3","27,089,435.4",51.99999999999999,0.004268943436499467
강원 원주시,강원,원주시,2017,93,6,55,31,7,160402.0,341337.0,45246,13.25552167,"868,269,599.3","27,272,213.9",53.8,0.004331616812757945
강원 원주시,강원,원주시,2018,85,3,48,30,8,166115.0,344070.0,47200,13.71813875,"868,267,721.7","27,636,825.0",45.599999999999994,0.003693826565933239
강원 원주시,강원,원주시,2019,96,7,55,37,2,171679.0,349215.0,49983,14.31295907,"868,240,237.8","28,130,762.5",56.6,0.004214842817117994
강원 원주시,강원,원주시,2020,66,5,35,24,3,179251.0,354376.0,53390,15.06591869,"868,228,515.5","28,543,258.7",36.7,0.0027012401604454093
강원 원주시,강원,원주시,2021,79,5,47,26,1,185530.0,357757.0,56771,15.86859237,"868,251,129.7","28,714,291.7",45.699999999999996,0.003181156686250202
강원 원주시,강원,원주시,2022,72,7,36,30,0,192437.0,360807.0,60755,16.83864227,"868,281,603.3","29,494,718.4",41.2,0.002781169941331449
강원 원주시,강원,원주시,2023,68,8,35,23,3,196677.0,209439.0,64487,30.79034946,"868,285,190.5","29,679,837.6",39.4,0.002584948926412341
강원 인제군,강원,인제군,2012,7,2,5,0,0,14293.0,32456.0,5396,16.62558541,"1,620,425,265.4","15,062,010.9",5.5,0.0042678234100608685
강원 인제군,강원,인제군,2013,6,3,3,0,0,14880.0,32517.0,5472,16.82812068,"1,645,150,711.9","15,134,969.4",5.1,0.0036693548387096773
강원 인제군,강원,인제군,2014,4,0,4,0,0,15395.0,32475.0,5537,17.05003849,"1,645,145,635.4","15,181,056.3",2.8,0.0021305618707372527
강원 인제군,강원,인제군,2016,5,1,4,0,0,16677.0,32720.0,5602,17.12102689,"1,645,196,110.5","15,256,553.5",3.8,0.002566408826527552
강원 인제군,강원,인제군,2017,6,1,4,2,0,17316.0,32582.0,5859,17.98232153,"1,645,179,452.9","15,287,165.9",4.3999999999999995,0.0029106029106029103
강원 인제군,강원,인제군,2018,3,0,3,0,0,17744.0,32136.0,6014,18.71421459,"1,645,178,635.4","16,352,565.5",2.0999999999999996,0.001386384129846709
강원 인제군,강원,인제군,2019,3,1,2,0,0,18056.0,31672.0,6194,19.55670624,"1,644,967,141.0","16,443,738.3",2.4,0.0014621178555604786
강원 인제군,강원,인제군,2020,1,0,0,1,0,18913.0,31694.0,6530,20.60326876,"1,646,099,211.5","16,468,833.1",0.3,0.0003066673716491303
강원 인제군,강원,인제군,2021,1,0,0,1,0,19468.0,32165.0,6899,21.44877973,"1,646,079,480.2","16,734,809.7",0.3,0.0002979247996712554
강원 인제군,강원,인제군,2022,2,0,0,0,2,20094.0,32206.0,7269,22.57032851,"1,646,193,854.2","16,840,355.9",0.0,0.0003981287946650742
강원 인제군,강원,인제군,2023,9,1,7,1,0,20533.0,27305.0,7627,27.93261307,"1,646,197,571.1","16,905,194.7",6.199999999999999,0.003564992938197048
