발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,경도,위도,발생분,부상자수,CCTV설치유무,보호구역지정일
2017,2017-04-25 16:00,주간,화,2,5.0,2,1,0,부산,해운대구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_승용차,_승합차,_승합차,129.1248549,35.18827355,8.0,,없음,20220328
2016,2016-09-08 1:00,야간,목,1,2.0,1,0,0,부산,연제구,차대사람,차도통행중,차도통행중,운전자법규위반,기타(운전자법규위반)_,단일로,기타단일로,_승용차,_대형,_보행자,_보행자,129.0811346,35.18775062,50.0,,있음,20201221
2017,2017-08-19 9:00,주간,토,1,1.0,0,0,0,부산,연제구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행_,교차로,교차로부근,_승용차,_승용차,_보행자,_보행자,129.0828076,35.18873314,14.0,,있음,20201221
2018,2018-03-08 6:30,주,목,1,1.0,0,0,0,부산,연제구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,승용차_,승용차_,보행자_,보행자_,129.0811433,35.1882013,,,있음,20201221
2020,2020-01-10 18,야,금,1,,1,1,0,부산,연제구,차대사람,횡단중,횡단중,,_보행자 보호의무 위반,교차로,교차로횡단보도내,_,승용차_,_,보행자_,129.0843301,35.18801358,,2.0,있음,20201221
2020,2020-09-17 09,주,목,1,,0,0,0,부산,연제구,차대사람,기타,기타,,_안전운전 의무 불이행,단일로,기타단일로,_,화물차_,_,보행자_,129.0825981,35.18676678,,0.0,있음,20201221
2017,2017-01-23 11:00,주간,월,1,1.0,0,0,0,부산,사상구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_승용차,_보행자,_보행자,128.9941777,35.14744913,5.0,,있음,20201016
2017,2017-09-19 22:00,야간,화,1,1.0,0,0,0,부산,사상구,차대차,측면충돌,측면충돌,운전자법규위반,차로위반(진로변경 위반)_,단일로,기타단일로,_이륜차,_이륜차,_승용차,_승용차,128.9920484,35.14980696,50.0,,있음,20201016
2018,2018-02-22 18:43,야,목,1,6.0,1,4,0,부산,사상구,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행_,교차로,교차로부근,이륜차_,이륜차_,화물차_,화물차_,128.9942019,35.14996976,,,있음,20201016
2019,2019-06-05 07,주,수,1,,0,0,0,부산,사상구,차대사람,기타,기타,,_안전운전 의무 불이행,교차로,교차로내,_,승합차_,_,보행자_,128.991948,35.14520814,,0.0,있음,20201016
2019,2019-02-26 00,야,화,1,,1,0,0,부산,영도구,차대사람,차도통행중,차도통행중,,_신호위반,교차로,교차로내,_,승용차_,_,보행자_,129.06562,35.07616161,,1.0,있음,20200918
2015,2015-10-30 9:10,주,금,1,1.0,0,0,0,부산,영도구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반_,단일로,횡단보도상,승용차_,소형_,보행자_,보행자_,129.0439221,35.08757485,,,있음,20200917
2019,2019-11-20 11,주,수,1,,0,0,0,부산,영도구,차대사람,기타,기타,,_안전운전 의무 불이행,기타,기타,_,건설기계_,_,보행자_,129.0441209,35.09171976,,0.0,있음,20200917
2020,2020-04-22 12,주,수,1,,0,0,0,부산,영도구,차대사람,횡단중,횡단중,,_안전운전 의무 불이행,교차로,교차로부근,_,승용차_,_,보행자_,129.0433264,35.09089137,,0.0,있음,20200917
2022,2022-07-06 18:00,야,수,1,,0,0,0,부산,영도구,차대차,측면충돌,측면충돌,,_안전운전 의무 불이행,기타,기타,_,승용차_,_,승용차_,129.0425431,35.08890877,,0.0,있음,20200917
2023,2023-06-17 13:00,주,토,1,,0,0,0,부산,영도구,차대사람,기타,기타,,_안전운전 의무 불이행,단일로,기타단일로,_,화물차_,_,보행자_,129.0432073,35.09097404,,0.0,있음,20200917
2016,2016-09-23 0:00,야간,금,1,1.0,0,0,0,부산,영도구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행_,단일로,기타단일로,_승용차,_중형,_보행자,_보행자,129.0442111,35.09301694,50.0,,있음,20200917
2020,2020-07-29 09,주,수,1,,0,0,0,부산,강서구,차대사람,차도통행중,차도통행중,,_안전운전 의무 불이행,단일로,기타단일로,_,화물차_,_,보행자_,128.9739835,35.20872152,,0.0,있음,20200424
2023,2023-09-24 5:00,야,일,1,,0,2,0,부산,강서구,차대차,추돌,추돌,,_안전거리 미확보,단일로,기타단일로,_,승용차_,_,화물차_,128.9744675,35.20510918,,2.0,있음,20200424
